,County
0,Anderson
1,Andrews
2,Angelina
3,Aransas
4,Archer
5,Armstrong
6,Atascosa
7,Austin
8,Bailey
9,Bandera
10,Bastrop
11,Baylor
12,Bee
13,Bell
14,Bexar
15,Blanco
16,Borden
17,Bosque
18,Bowie
19,Brazoria
20,Brazos
21,Brewster
22,Briscoe
23,Brooks
24,Brown
25,Burleson
26,Burnet
27,Caldwell
28,Calhoun
29,Callahan
30,Cameron
31,Camp
32,Carson
33,Cass
34,Castro
35,Chambers
36,Cherokee
37,Childress
38,Clay
39,Cochran
40,Coke
41,Coleman
42,Collin
43,Collingsworth
44,Colorado
45,Comal
46,Comanche
47,Concho
48,Cooke
49,Coryell
50,Cottle
51,Crane
52,Crockett
53,Crosby
54,Culberson
55,Dallam
56,Dallas
57,Dawson
58,DeWitt
59,Deaf Smith
60,Delta
61,Denton
62,Dickens
63,Dimmit
64,Donley
65,Duval
66,Eastland
67,Ector
68,Edwards
69,El Paso
70,Ellis
71,Erath
72,Falls
73,Fannin
74,Fayette
75,Fisher
76,Floyd
77,Foard
78,Fort Bend
79,Franklin
80,Freestone
81,Frio
82,Gaines
83,Galveston
84,Garza
85,Gillespie
86,Glasscock
87,Goliad
88,Gonzales
89,Gray
90,Grayson
91,Gregg
92,Grimes
93,Guadalupe
94,Hale
95,Hall
96,Hamilton
97,Hansford
98,Hardeman
99,Hardin
100,Harris
101,Harrison
102,Hartley
103,Haskell
104,Hays
105,Hemphill
106,Henderson
107,Hidalgo
108,Hill
109,Hockley
110,Hood
111,Hopkins
112,Houston
113,Howard
114,Hudspeth
115,Hunt
116,Hutchinson
117,Irion
118,Jack
119,Jackson
120,Jasper
121,Jeff Davis
122,Jefferson
123,Jim Hogg
124,Jim Wells
125,Johnson
126,Jones
127,Karnes
128,Kaufman
129,Kendall
130,Kenedy
131,Kent
132,Kerr
133,Kimble
134,King
135,Kinney
136,Kleberg
137,Knox
138,La Salle
139,Lamar
140,Lamb
141,Lampasas
142,Lavaca
143,Lee
144,Leon
145,Liberty
146,Limestone
147,Lipscomb
148,Live Oak
149,Llano
150,Loving
151,Lubbock
152,Lynn
153,Madison
154,Marion
155,Martin
156,Mason
157,Matagorda
158,Maverick
159,McCulloch
160,McLennan
161,McMullen
162,Medina
163,Menard
164,Midland
165,Milam
166,Mills
167,Mitchell
168,Montague
169,Montgomery
170,Moore
171,Morris
172,Motley
173,Nacogdoches
174,Navarro
175,Newton
176,Nolan
177,Nueces
178,Ochiltree
179,Oldham
180,Orange
181,Out of TX
182,Palo Pinto
183,Panola
184,Parker
185,Parmer
186,Pecos
187,Polk
188,Potter
189,Presidio
190,Rains
191,Randall
192,Reagan
193,Real
194,Red River
195,Reeves
196,Refugio
197,Roberts
198,Robertson
199,Rockwall
200,Runnels
201,Rusk
202,Sabine
203,San Augustine
204,San Jacinto
205,San Patricio
206,San Saba
207,Schleicher
208,Scurry
209,Shackelford
210,Shelby
211,Sherman
212,Smith
213,Somervell
214,Starr
215,Stephens
216,Sterling
217,Stonewall
218,Sutton
219,Swisher
220,Tarrant
221,Taylor
222,Terrell
223,Terry
224,Throckmorton
225,Titus
226,Tom Green
227,Travis
228,Trinity
229,Tyler
230,Unassigned
231,Upshur
232,Upton
233,Uvalde
234,Val Verde
235,Van Zandt
236,Victoria
237,Walker
238,Waller
239,Ward
240,Washington
241,Webb
242,Wharton
243,Wheeler
244,Wichita
245,Wilbarger
246,Willacy
247,Williamson
248,Wilson
249,Winkler
250,Wise
251,Wood
252,Yoakum
253,Young
254,Zapata
255,Zavala
