County,Date,Confirmed Cases
Anderson,2020/1/22,0
Andrews,2020/1/22,0
Angelina,2020/1/22,0
Aransas,2020/1/22,0
Archer,2020/1/22,0
Armstrong,2020/1/22,0
Atascosa,2020/1/22,0
Austin,2020/1/22,0
Bailey,2020/1/22,0
Bandera,2020/1/22,0
Bastrop,2020/1/22,0
Baylor,2020/1/22,0
Bee,2020/1/22,0
Bell,2020/1/22,0
Bexar,2020/1/22,0
Blanco,2020/1/22,0
Borden,2020/1/22,0
Bosque,2020/1/22,0
Bowie,2020/1/22,0
Brazoria,2020/1/22,0
Brazos,2020/1/22,0
Brewster,2020/1/22,0
Briscoe,2020/1/22,0
Brooks,2020/1/22,0
Brown,2020/1/22,0
Burleson,2020/1/22,0
Burnet,2020/1/22,0
Caldwell,2020/1/22,0
Calhoun,2020/1/22,0
Callahan,2020/1/22,0
Cameron,2020/1/22,0
Camp,2020/1/22,0
Carson,2020/1/22,0
Cass,2020/1/22,0
Castro,2020/1/22,0
Chambers,2020/1/22,0
Cherokee,2020/1/22,0
Childress,2020/1/22,0
Clay,2020/1/22,0
Cochran,2020/1/22,0
Coke,2020/1/22,0
Coleman,2020/1/22,0
Collin,2020/1/22,0
Collingsworth,2020/1/22,0
Colorado,2020/1/22,0
Comal,2020/1/22,0
Comanche,2020/1/22,0
Concho,2020/1/22,0
Cooke,2020/1/22,0
Coryell,2020/1/22,0
Cottle,2020/1/22,0
Crane,2020/1/22,0
Crockett,2020/1/22,0
Crosby,2020/1/22,0
Culberson,2020/1/22,0
Dallam,2020/1/22,0
Dallas,2020/1/22,0
Dawson,2020/1/22,0
DeWitt,2020/1/22,0
Deaf Smith,2020/1/22,0
Delta,2020/1/22,0
Denton,2020/1/22,0
Dickens,2020/1/22,0
Dimmit,2020/1/22,0
Donley,2020/1/22,0
Duval,2020/1/22,0
Eastland,2020/1/22,0
Ector,2020/1/22,0
Edwards,2020/1/22,0
El Paso,2020/1/22,0
Ellis,2020/1/22,0
Erath,2020/1/22,0
Falls,2020/1/22,0
Fannin,2020/1/22,0
Fayette,2020/1/22,0
Fisher,2020/1/22,0
Floyd,2020/1/22,0
Foard,2020/1/22,0
Fort Bend,2020/1/22,0
Franklin,2020/1/22,0
Freestone,2020/1/22,0
Frio,2020/1/22,0
Gaines,2020/1/22,0
Galveston,2020/1/22,0
Garza,2020/1/22,0
Gillespie,2020/1/22,0
Glasscock,2020/1/22,0
Goliad,2020/1/22,0
Gonzales,2020/1/22,0
Gray,2020/1/22,0
Grayson,2020/1/22,0
Gregg,2020/1/22,0
Grimes,2020/1/22,0
Guadalupe,2020/1/22,0
Hale,2020/1/22,0
Hall,2020/1/22,0
Hamilton,2020/1/22,0
Hansford,2020/1/22,0
Hardeman,2020/1/22,0
Hardin,2020/1/22,0
Harris,2020/1/22,0
Harrison,2020/1/22,0
Hartley,2020/1/22,0
Haskell,2020/1/22,0
Hays,2020/1/22,0
Hemphill,2020/1/22,0
Henderson,2020/1/22,0
Hidalgo,2020/1/22,0
Hill,2020/1/22,0
Hockley,2020/1/22,0
Hood,2020/1/22,0
Hopkins,2020/1/22,0
Houston,2020/1/22,0
Howard,2020/1/22,0
Hudspeth,2020/1/22,0
Hunt,2020/1/22,0
Hutchinson,2020/1/22,0
Irion,2020/1/22,0
Jack,2020/1/22,0
Jackson,2020/1/22,0
Jasper,2020/1/22,0
