County,Date,Confirmed Cases
Anderson,2020/4/22,12
Andrews,2020/4/22,0
Angelina,2020/4/22,29
Aransas,2020/4/22,1
Archer,2020/4/22,1
Armstrong,2020/4/22,1
Atascosa,2020/4/22,3
Austin,2020/4/22,2
Bailey,2020/4/22,0
Bandera,2020/4/22,1
Bastrop,2020/4/22,17
Baylor,2020/4/22,0
Bee,2020/4/22,11
Bell,2020/4/22,71
Bexar,2020/4/22,530
Blanco,2020/4/22,3
Borden,2020/4/22,0
Bosque,2020/4/22,1
Bowie,2020/4/22,89
Brazoria,2020/4/22,66
Brazos,2020/4/22,78
Brewster,2020/4/22,0
Briscoe,2020/4/22,0
Brooks,2020/4/22,0
Brown,2020/4/22,0
Burleson,2020/4/22,2
Burnet,2020/4/22,1
Caldwell,2020/4/22,3
Calhoun,2020/4/22,8
Callahan,2020/4/22,0
Cameron,2020/4/22,45
Camp,2020/4/22,2
Carson,2020/4/22,0
Cass,2020/4/22,2
Castro,2020/4/22,4
Chambers,2020/4/22,2
Cherokee,2020/4/22,8
Childress,2020/4/22,1
Clay,2020/4/22,2
Cochran,2020/4/22,0
Coke,2020/4/22,0
Coleman,2020/4/22,-1
Collin,2020/4/22,278
Collingsworth,2020/4/22,1
Colorado,2020/4/22,4
Comal,2020/4/22,12
Comanche,2020/4/22,-5
Concho,2020/4/22,0
Cooke,2020/4/22,2
Coryell,2020/4/22,23
Cottle,2020/4/22,0
Crane,2020/4/22,0
Crockett,2020/4/22,0
Crosby,2020/4/22,0
Culberson,2020/4/22,-1
Dallam,2020/4/22,0
Dallas,2020/4/22,923
Dawson,2020/4/22,1
Deaf Smith,2020/4/22,3
Delta,2020/4/22,2
Denton,2020/4/22,218
DeWitt,2020/4/22,6
Dickens,2020/4/22,0
Dimmit,2020/4/22,1
Donley,2020/4/22,0
Duval,2020/4/22,0
Eastland,2020/4/22,6
Ector,2020/4/22,32
Edwards,2020/4/22,0
Ellis,2020/4/22,55
El Paso,2020/4/22,219
Erath,2020/4/22,-2
Falls,2020/4/22,1
Fannin,2020/4/22,20
Fayette,2020/4/22,4
Fisher,2020/4/22,2
Floyd,2020/4/22,0
Foard,2020/4/22,0
Fort Bend,2020/4/22,382
Franklin,2020/4/22,0
Freestone,2020/4/22,6
Frio,2020/4/22,0
Gaines,2020/4/22,0
Galveston,2020/4/22,62
Garza,2020/4/22,0
Gillespie,2020/4/22,3
Glasscock,2020/4/22,0
Goliad,2020/4/22,1
Gonzales,2020/4/22,2
Gray,2020/4/22,1
Grayson,2020/4/22,33
Gregg,2020/4/22,135
Grimes,2020/4/22,3
Guadalupe,2020/4/22,18
Hale,2020/4/22,4
Hall,2020/4/22,0
Hamilton,2020/4/22,4
Hansford,2020/4/22,-1506
Hardeman,2020/4/22,0
Hardin,2020/4/22,2
Harris,2020/4/22,1657
Harrison,2020/4/22,24
Hartley,2020/4/22,0
Haskell,2020/4/22,2
Hays,2020/4/22,60
Hemphill,2020/4/22,-5
Henderson,2020/4/22,8
Hidalgo,2020/4/22,51
Hill,2020/4/22,7
Hockley,2020/4/22,0
Hood,2020/4/22,4
Hopkins,2020/4/22,1
Houston,2020/4/22,13
Howard,2020/4/22,8
Hudspeth,2020/4/22,0
Hunt,2020/4/22,16
Hutchinson,2020/4/22,-1
Irion,2020/4/22,0
Jack,2020/4/22,0
Jackson,2020/4/22,5
Jasper,2020/4/22,1
Jeff Davis,2020/4/22,0
Jefferson,2020/4/22,48
Jim Hogg,2020/4/22,0
Jim Wells,2020/4/22,8
Johnson,2020/4/22,48
Jones,2020/4/22,0
Karnes,2020/4/22,1
Kaufman,2020/4/22,7
Kendall,2020/4/22,4
Kenedy,2020/4/22,0
Kent,2020/4/22,0
Kerr,2020/4/22,14
Kimble,2020/4/22,0
King,2020/4/22,0
Kinney,2020/4/22,0
Kleberg,2020/4/22,13
Knox,2020/4/22,0
Lamar,2020/4/22,8
Lamb,2020/4/22,1
Lampasas,2020/4/22,3
La Salle,2020/4/22,0
Lavaca,2020/4/22,6
Lee,2020/4/22,0
Leon,2020/4/22,0
Liberty,2020/4/22,17
Limestone,2020/4/22,3
Lipscomb,2020/4/22,0
Live Oak,2020/4/22,0
Llano,2020/4/22,0
Loving,2020/4/22,0
Lubbock,2020/4/22,183
Lynn,2020/4/22,0
McCulloch,2020/4/22,0
McLennan,2020/4/22,60
McMullen,2020/4/22,0
Madison,2020/4/22,0
Marion,2020/4/22,0
Martin,2020/4/22,3
Mason,2020/4/22,0
Matagorda,2020/4/22,-3
Maverick,2020/4/22,4
Medina,2020/4/22,4
Menard,2020/4/22,0
Midland,2020/4/22,68
Milam,2020/4/22,0
Mills,2020/4/22,1
Mitchell,2020/4/22,0
Montague,2020/4/22,3
