Date,", Cameron, Hidalgo, Willacy, Starr, Kenedy, Zapata, Brooks, Jim Hogg","Kleberg, Duval, Jim Wells, Nueces, Webb, San Patricio, Aransas","Refugio, La Salle, Live Oak, McMullen, Bee, Dimmit, Calhoun, Goliad, Maverick, Victoria, Matagorda, Zavala, Frio, Atascosa, Karnes, Jackson, DeWitt","Wilson, Brazoria, Wharton, Kinney, Medina, Uvalde, Lavaca, Galveston, Bexar, Gonzales, Fort Bend, Guadalupe, Colorado, Chambers, Bandera, Comal, Brewster, Real, Caldwell, Harris, Fayette, Jefferson, Austin, Val Verde, Kendall, Edwards, Presidio, Waller, Hays, Kerr, Bastrop, Orange","Liberty, Washington, Terrell, Blanco, Montgomery, Lee, Gillespie, Hardin, Travis, Kimble, Burleson, Sutton, Grimes, San Jacinto, Williamson, Brazos, Llano, Jeff Davis, Mason, Crockett, Walker, Jasper, Tyler, Pecos, Newton, Milam, Burnet, Polk, Menard, Schleicher, Madison, Robertson, Bell, Trinity","San Saba, McCulloch, Lampasas, Falls, Angelina, Leon, Irion, Houston, Reeves, Concho, Sabine, Reagan, Upton, Coryell, San Augustine, Tom Green, Crane, Culberson, Hudspeth, Mills, Ward, Limestone, McLennan, Nacogdoches, Freestone, Hamilton, Coleman, El Paso, Brown, Shelby, Anderson, Sterling, Runnels, Cherokee, Loving, Winkler, Ector, Midland, Glasscock, Coke, Bosque, Comanche, Hill, Navarro, Rusk","Panola, Henderson, Somervell, Erath, Callahan, Taylor, Nolan, Andrews, Martin, Howard, Mitchell, Eastland, Ellis, Smith, Johnson, Hood, Gregg, Harrison, Van Zandt, Kaufman, Stephens, Shackelford, Upshur, Jones, Gaines, Dawson, Fisher, Borden, Scurry, Palo Pinto, Dallas, Tarrant, Parker, Wood, Marion, Rains, Rockwall, Camp, Cass, Morris, Hunt","Hopkins, Yoakum, Terry, Franklin, Lynn, Young, Throckmorton, Haskell, Stonewall, Garza, Kent, Collin, Denton, Titus, Wise, Jack, Delta, Bowie, Fannin, Cochran, Knox, Hockley, Lubbock, Crosby, Archer, Dickens, Baylor, King, Red River, Grayson, Cooke, Lamar, Montague, Clay, Foard, Wichita, Bailey, Lamb, Hale, Floyd, Motley, Cottle, Wilbarger","Hardeman, Childress, Parmer, Castro, Briscoe, Swisher, Hall, Collingsworth, Armstrong, Donley, Deaf Smith, Randall","Gray, Wheeler, Potter, Carson, Oldham, Hemphill, Moore, Roberts, Hutchinson, Hartley","Hansford, Sherman, Lipscomb, Dallam, Ochiltree"
1/23/20,,,,,,,,,,,
1/24/20,,,,,,,,,,,
1/25/20,,,,,,,,,,,
1/26/20,0,0,0,0,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0,0,0,0,0
2/27/20,0,0,0,0,0,0,0,0,0,0,0
2/28/20,0,0,0,0,0,0,0,0,0,0,0
2/29/20,0,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0,0,0,0,0,0
3/3/20,0,0,0,0.428571429,0,0,0,0,0,0,0
3/4/20,0,0,0,0.571428571,0,0,0,0,0,0,0
3/5/20,0,0,0,1.142857143,0,0,0,0,0,0,0
3/6/20,0,0,0,1.571428571,0,0,0,0,0,0,0
3/7/20,0,0,0,1.714285714,0,0,0,0.142857143,0,0,0
3/8/20,0,0,0,1.714285714,0,0,0.142857143,0.428571429,0,0,0
3/9/20,0,0,0,1.857142857,0.142857143,0,0.571428571,0.428571429,0,0,0
3/10/20,0,0,0,1.714285714,0.571428571,0,0.714285714,0.428571429,0,0,0
3/11/20,0,0,0,2.142857143,0.714285714,0,2.142857143,0.714285714,0,0,0
3/12/20,0,0,0,2.571428571,1.142857143,0.142857143,2.714285714,0.857142857,0,0,0
3/13/20,0,0,0,2.285714286,1.142857143,0.142857143,2.857142857,1.142857143,0,0,0
3/14/20,0,0,0.142857143,2.714285714,1.714285714,0.285714286,4.142857143,1.285714286,0,0,0
3/15/20,0,0.142857143,0.285714286,3.571428571,2.428571429,0.571428571,5.428571429,1.142857143,0,0,0
3/16/20,0.285714286,0.142857143,0.571428571,6.857142857,5.857142857,1.428571429,7.285714286,2.714285714,0,0,0
3/17/20,0.285714286,0.142857143,0.571428571,11.28571429,9,2.142857143,11.71428571,4.285714286,0,0.285714286,0
3/18/20,0.428571429,0.142857143,0.571428571,16.85714286,12.28571429,3.428571429,13.85714286,6.714285714,0.428571429,0.285714286,0
3/19/20,0.571428571,0.285714286,0.571428571,21,13.85714286,3.857142857,18.85714286,9.142857143,0.428571429,0.285714286,0
3/20/20,1.428571429,0.714285714,0.857142857,23.71428571,15,3.857142857,25.14285714,11.28571429,0.714285714,0.285714286,0
3/21/20,1.428571429,0.714285714,1,27.57142857,19.71428571,4.142857143,29.14285714,12.28571429,0.714285714,0.571428571,0
3/22/20,1.428571429,1.285714286,1.285714286,41.28571429,21.57142857,5.571428571,32.85714286,15.85714286,0.714285714,0.714285714,0
3/23/20,2,2.714285714,1.714285714,46.85714286,22.85714286,6.714285714,45.85714286,19.57142857,1.142857143,0.714285714,0
3/24/20,2.857142857,3.714285714,2.285714286,58.42857143,26,8.857142857,52.71428571,22.85714286,1.571428571,0.428571429,0
3/25/20,3.714285714,5.428571429,2.857142857,63.57142857,32,8.857142857,62.85714286,34,1.428571429,0.571428571,0
3/26/20,4.571428571,6.571428571,3,97.42857143,38.14285714,10.57142857,71.42857143,39,1.571428571,0.571428571,0
3/27/20,6,7,3.142857143,114.8571429,41.85714286,12.42857143,75,43.42857143,1.714285714,0.857142857,0
3/28/20,6.285714286,8,4.714285714,122.5714286,41.85714286,13.85714286,94.71428571,48.85714286,1.714285714,0.714285714,0
3/29/20,8.571428571,10.14285714,6.428571429,144.1428571,50.85714286,16.57142857,109.2857143,55.71428571,2.428571429,1,0
