Date,", Cameron, Hidalgo, Willacy, Starr, Kenedy, Zapata, Brooks, Jim Hogg","Kleberg, Duval, Jim Wells, Nueces, Webb, San Patricio, Aransas","Refugio, La Salle, Live Oak, McMullen, Bee, Dimmit, Calhoun, Goliad, Maverick, Victoria, Matagorda, Zavala, Frio, Atascosa, Karnes, Jackson, DeWitt","Wilson, Brazoria, Wharton, Kinney, Medina, Uvalde, Lavaca, Galveston, Bexar, Gonzales, Fort Bend, Guadalupe, Colorado, Chambers, Bandera, Comal, Brewster, Real, Caldwell, Harris, Fayette, Jefferson, Austin, Val Verde, Kendall, Edwards, Presidio, Waller, Hays, Kerr, Bastrop, Orange","Liberty, Washington, Terrell, Blanco, Montgomery, Lee, Gillespie, Hardin, Travis, Kimble, Burleson, Sutton, Grimes, San Jacinto, Williamson, Brazos, Llano, Jeff Davis, Mason, Crockett, Walker, Jasper, Tyler, Pecos, Newton, Milam, Burnet, Polk, Menard, Schleicher, Madison, Robertson, Bell, Trinity","San Saba, McCulloch, Lampasas, Falls, Angelina, Leon, Irion, Houston, Reeves, Concho, Sabine, Reagan, Upton, Coryell, San Augustine, Tom Green, Crane, Culberson, Hudspeth, Mills, Ward, Limestone, McLennan, Nacogdoches, Freestone, Hamilton, Coleman, El Paso, Brown, Shelby, Anderson, Sterling, Runnels, Cherokee, Loving, Winkler, Ector, Midland, Glasscock, Coke, Bosque, Comanche, Hill, Navarro, Rusk","Panola, Henderson, Somervell, Erath, Callahan, Taylor, Nolan, Andrews, Martin, Howard, Mitchell, Eastland, Ellis, Smith, Johnson, Hood, Gregg, Harrison, Van Zandt, Kaufman, Stephens, Shackelford, Upshur, Jones, Gaines, Dawson, Fisher, Borden, Scurry, Palo Pinto, Dallas, Tarrant, Parker, Wood, Marion, Rains, Rockwall, Camp, Cass, Morris, Hunt","Hopkins, Yoakum, Terry, Franklin, Lynn, Young, Throckmorton, Haskell, Stonewall, Garza, Kent, Collin, Denton, Titus, Wise, Jack, Delta, Bowie, Fannin, Cochran, Knox, Hockley, Lubbock, Crosby, Archer, Dickens, Baylor, King, Red River, Grayson, Cooke, Lamar, Montague, Clay, Foard, Wichita, Bailey, Lamb, Hale, Floyd, Motley, Cottle, Wilbarger","Hardeman, Childress, Parmer, Castro, Briscoe, Swisher, Hall, Collingsworth, Armstrong, Donley, Deaf Smith, Randall","Gray, Wheeler, Potter, Carson, Oldham, Hemphill, Moore, Roberts, Hutchinson, Hartley"
4/22/20,0.191489362,0.056179775,0.015384615,0.06557377,0.129001883,0.077201448,0.157055215,0.063444109,0.128440367,0.260273973
4/23/20,0.191489362,0.056179775,0.015384615,0.06557377,0.129001883,0.077201448,0.157055215,0.063444109,0.128440367,0.260273973
4/24/20,0.285714286,0.322033898,0.051401869,0.050910442,0.084128878,0.054585153,0.100913621,0.03470214,0.137614679,0.5875
4/25/20,0.289855072,0.042857143,0.042253521,0.041267358,0.055555556,0.060606061,0.09245123,0.033276451,0.254901961,0.804878049
4/26/20,0.2,0.132075472,0.058823529,0.009301015,0.129370629,0.077562327,0.080747981,0.04302926,0.235294118,0.650943396
4/27/20,0.21875,0.085106383,0.125,0.177682403,0.29109589,0.235772358,0.158841941,0.078880407,1.142857143,0.775280899
4/28/20,0.148148148,0.047619048,0.06122449,0.065094823,0.223113965,0.11352657,0.099018353,0.054607509,0.263157895,0.808823529
4/29/20,0.084158416,0.053571429,0.091954023,0.068531469,0.189448441,0.170798898,0.121568627,0.040714995,0.482758621,1.369230769
4/30/20,0.101010101,0.208333333,0.058139535,0.074195054,0.187878788,0.161473088,0.163482896,0.047713718,0.590909091,1.328767123
5/1/20,0.243902439,0.333333333,0.076923077,0.108728031,0.164688427,0.189189189,0.15675446,0.071776156,1.043478261,1.21686747
5/2/20,0.533333333,4.5,6,0.894329897,2.05,7.714285714,2.018867925,1.3,22,1.859649123
5/3/20,0.117647059,0.131147541,0.076923077,0.075414429,0.074165637,0.074,0.153571429,0.04625,0.333333333,1.5
5/4/20,0.013544018,0.094594595,0.00877193,0.03997195,0.046125461,0.037678208,0.132926829,0.029712163,0.25862069,0.288690476
5/5/20,0.013544018,0.094594595,0.035087719,0.034502104,0.056580566,0.061099796,0.17601626,0.04735376,0.344827586,0.211309524
5/6/20,0.036876356,0.029605263,0.018691589,0.028486056,0.051329056,0.073306773,0.085452506,0.034390113,0.231578947,0.123376623
5/7/20,0.043383948,0.026315789,0.004672897,0.026992032,0.057745188,0.070916335,0.083395662,0.034927458,0.210526316,0.118506494
5/8/20,0.045816733,0.037117904,0.034615385,0.0370486,0.056984367,0.076861489,0.078703704,0.030995935,0.12962963,0.127012522
5/9/20,0.042990654,0.02955665,0.00617284,0.031914894,0.034673367,0.056916427,0.062780269,0.032030402,0.104895105,0.170411985
5/10/20,0.033670034,0.032258065,0.006622517,0.031303056,0.023977433,0.047491039,0.070550847,0.032755299,0.020833333,0.092814371
5/11/20,0.039138943,0.035989717,0.012578616,0.028381801,0.034367142,0.023368251,0.072991165,0.042211653,0.095238095,0.104938272
5/12/20,0.045045045,0.064777328,0.038461538,0.025119526,0.050159599,0.038862559,0.121326738,0.048209366,0.769230769,2.074074074
5/13/20,0.074675325,0.104575163,0.079710145,0.022022022,0.052450559,0.040726472,0.073332172,0.041814947,0.836734694,2.736842105
5/14/20,0.083056478,0.294117647,0.058823529,0.027570519,0.083514887,0.114285714,0.108791532,0.057909605,1.333333333,1.278481013
5/15/20,0.107936508,0.254237288,0.043478261,0.035846438,0.055390113,0.070915619,0.066599799,0.053270398,0.679245283,1.119565217
5/16/20,0.067901235,0.551724138,0,0.039873251,0.050060314,0.103375527,0.065082851,0.044267054,1.233333333,0.828571429
