Place,Lat,Population
", Cameron, Hidalgo, Willacy, Starr",26.39376056,1377882
"Kenedy, Zapata, Brooks, Jim Hogg",27.00078793,26153
Kleberg,27.42435506,31040
"Duval, Jim Wells, Nueces, Webb, San Patricio, Aransas",27.83742856,761599
"Refugio, La Salle, Live Oak, McMullen, Bee, Dimmit, Calhoun",28.3832513,85108
"Goliad, Maverick, Victoria, Matagorda, Zavala, Frio, Atascosa, Karnes, Jackson, DeWitt",28.85870628,317790
"Wilson, Brazoria, Wharton, Kinney, Medina, Uvalde, Lavaca, Galveston, Bexar, Gonzales, Fort Bend, Guadalupe, Colorado",29.39419083,3957833
"Chambers, Bandera, Comal, Brewster, Real, Caldwell, Harris, Fayette, Jefferson, Austin, Val Verde, Kendall, Edwards, Presidio, Waller, Hays, Kerr, Bastrop, Orange",29.91666852,5961284
"Liberty, Washington, Terrell, Blanco, Montgomery, Lee, Gillespie, Hardin, Travis, Kimble, Burleson, Sutton, Grimes, San Jacinto",30.36133148,2232602
"Williamson, Brazos, Llano, Jeff Davis, Mason, Crockett, Walker, Jasper, Tyler, Pecos, Newton, Milam, Burnet, Polk, Menard, Schleicher, Madison, Robertson, Bell, Trinity",30.81344604,1572625
"San Saba, McCulloch, Lampasas, Falls, Angelina, Leon, Irion, Houston, Reeves, Concho, Sabine, Reagan, Upton, Coryell, San Augustine, Tom Green, Crane, Culberson, Hudspeth, Mills, Ward, Limestone, McLennan, Nacogdoches",31.37286005,796843
"Freestone, Hamilton, Coleman, El Paso, Brown, Shelby, Anderson, Sterling, Runnels, Cherokee, Loving, Winkler, Ector, Midland, Glasscock, Coke, Bosque, Comanche, Hill, Navarro, Rusk",31.85777384,1602672
"Panola, Henderson, Somervell, Erath, Callahan, Taylor, Nolan, Andrews, Martin, Howard, Mitchell, Eastland, Ellis, Smith, Johnson, Hood, Gregg, Harrison, Van Zandt, Kaufman",32.35061121,1478855
"Stephens, Shackelford, Upshur, Jones, Gaines, Dawson, Fisher, Borden, Scurry, Palo Pinto, Dallas, Tarrant, Parker, Wood, Marion, Rains, Rockwall, Camp, Cass, Morris, Hunt",32.82720365,5356258
"Hopkins, Yoakum, Terry, Franklin, Lynn, Young, Throckmorton, Haskell, Stonewall, Garza, Kent, Collin, Denton, Titus, Wise, Jack, Delta, Bowie, Fannin, Cochran, Knox, Hockley, Lubbock, Crosby, Archer, Dickens, Baylor, King, Red River, Grayson, Cooke",33.38056616,2878488
"Lamar, Montague, Clay, Foard, Wichita, Bailey, Lamb, Hale, Floyd, Motley, Cottle, Wilbarger",33.96705546,283919
"Hardeman, Childress, Parmer, Castro, Briscoe, Swisher, Hall",34.49573785,38684
"Collingsworth, Armstrong, Donley, Deaf Smith, Randall",34.96524675,153741
"Gray, Wheeler, Potter, Carson, Oldham",35.40224302,152307
"Hemphill, Moore, Roberts, Hutchinson, Hartley",35.83871674,51566
