Date,", Cameron, Hidalgo, Willacy, Starr, Kenedy, Zapata, Brooks, Jim Hogg, Kleberg, Duval, Jim Wells, Nueces, Webb, San Patricio, Aransas","Refugio, La Salle, Live Oak, McMullen, Bee, Dimmit, Calhoun, Goliad, Maverick, Victoria, Matagorda, Zavala, Frio, Atascosa, Karnes, Jackson, DeWitt, Wilson, Brazoria, Wharton, Kinney, Medina, Uvalde, Lavaca, Galveston, Bexar, Gonzales, Fort Bend, Guadalupe, Colorado, Chambers, Bandera, Comal, Brewster, Real, Caldwell, Harris, Fayette, Jefferson, Austin, Val Verde, Kendall, Edwards, Presidio, Waller, Hays, Kerr, Bastrop, Orange","Liberty, Washington, Terrell, Blanco, Montgomery, Lee, Gillespie, Hardin, Travis, Kimble, Burleson, Sutton, Grimes, San Jacinto, Williamson, Brazos, Llano, Jeff Davis, Mason, Crockett, Walker, Jasper, Tyler, Pecos, Newton, Milam, Burnet, Polk, Menard, Schleicher, Madison, Robertson, Bell, Trinity, San Saba, McCulloch, Lampasas, Falls, Angelina, Leon, Irion, Houston, Reeves, Concho, Sabine, Reagan, Upton, Coryell, San Augustine, Tom Green, Crane, Culberson, Hudspeth, Mills, Ward, Limestone, McLennan, Nacogdoches, Freestone, Hamilton, Coleman, El Paso, Brown, Shelby, Anderson, Sterling, Runnels, Cherokee, Loving, Winkler, Ector, Midland, Glasscock, Coke, Bosque, Comanche, Hill, Navarro, Rusk","Panola, Henderson, Somervell, Erath, Callahan, Taylor, Nolan, Andrews, Martin, Howard, Mitchell, Eastland, Ellis, Smith, Johnson, Hood, Gregg, Harrison, Van Zandt, Kaufman, Stephens, Shackelford, Upshur, Jones, Gaines, Dawson, Fisher, Borden, Scurry, Palo Pinto, Dallas, Tarrant, Parker, Wood, Marion, Rains, Rockwall, Camp, Cass, Morris, Hunt, Hopkins, Yoakum, Terry, Franklin, Lynn, Young, Throckmorton, Haskell, Stonewall, Garza, Kent, Collin, Denton, Titus, Wise, Jack, Delta, Bowie, Fannin, Cochran, Knox, Hockley, Lubbock, Crosby, Archer, Dickens, Baylor, King, Red River, Grayson, Cooke, Lamar, Montague, Clay, Foard, Wichita, Bailey, Lamb, Hale, Floyd, Motley, Cottle, Wilbarger","Hardeman, Childress, Parmer, Castro, Briscoe, Swisher, Hall, Collingsworth, Armstrong, Donley, Deaf Smith, Randall, Gray, Wheeler, Potter, Carson, Oldham, Hemphill, Moore, Roberts, Hutchinson, Hartley"
1/22/20,0,0,0,0,0
1/23/20,0,0,0,0,0
1/24/20,0,0,0,0,0
1/25/20,0,0,0,0,0
1/26/20,0,0,0,0,0
1/27/20,0,0,0,0,0
1/28/20,0,0,0,0,0
1/29/20,0,0,0,0,0
1/30/20,0,0,0,0,0
1/31/20,0,0,0,0,0
2/1/20,0,0,0,0,0
2/2/20,0,0,0,0,0
2/3/20,0,0,0,0,0
2/4/20,0,0,0,0,0
2/5/20,0,0,0,0,0
2/6/20,0,0,0,0,0
2/7/20,0,0,0,0,0
2/8/20,0,0,0,0,0
2/9/20,0,0,0,0,0
2/10/20,0,0,0,0,0
2/11/20,0,0,0,0,0
2/12/20,0,0,0,0,0
2/13/20,0,0,0,0,0
2/14/20,0,0,0,0,0
2/15/20,0,0,0,0,0
2/16/20,0,0,0,0,0
2/17/20,0,0,0,0,0
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,0,0,0,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,0,0
3/4/20,0,0,0,0,0
3/5/20,0,1,0,0,0
3/6/20,0,3,0,0,0
3/7/20,0,3,0,0,0
3/8/20,0,3,0,0,0
3/9/20,0,0,0,1,0
3/10/20,0,1,0,1,0
3/11/20,0,1,1,1,0
3/12/20,0,1,1,3,0
3/13/20,0,3,2,2,0
3/14/20,0,1,1,5,0
3/15/20,0,4,3,4,0
3/16/20,0,5,4,11,0
3/17/20,0,7,7,12,0
3/18/20,0,21,21,19,0
3/19/20,1,24,33,37,0
3/20/20,1,34,28,45,0
3/21/20,1,32,13,48,1
3/22/20,1,23,13,41,0
3/23/20,0,26,16,51,1
3/24/20,4,72,33,66,1
3/25/20,10,103,45,105,1
3/26/20,16,70,54,134,1
3/27/20,16,86,69,140,1
3/28/20,19,130,51,145,2
3/29/20,13,123,56,133,0
3/30/20,21,157,67,156,5
3/31/20,13,182,62,210,7
4/1/20,33,226,97,223,7
4/2/20,31,268,56,208,10
4/3/20,55,261,145,201,8
4/4/20,44,278,110,208,14
4/5/20,43,307,108,160,11
4/6/20,50,458,71,198,5
4/7/20,43,498,82,224,6
