,Date
0,2020-01-22
1,2020-01-23
2,2020-01-24
3,2020-01-25
4,2020-01-26
5,2020-01-27
6,2020-01-28
7,2020-01-29
8,2020-01-30
9,2020-01-31
10,2020-02-01
11,2020-02-02
12,2020-02-03
13,2020-02-04
14,2020-02-05
15,2020-02-06
16,2020-02-07
17,2020-02-08
18,2020-02-09
19,2020-02-10
20,2020-02-11
21,2020-02-12
22,2020-02-13
23,2020-02-14
24,2020-02-15
25,2020-02-16
26,2020-02-17
27,2020-02-18
28,2020-02-19
29,2020-02-20
30,2020-02-21
31,2020-02-22
32,2020-02-23
33,2020-02-24
34,2020-02-25
35,2020-02-26
36,2020-02-27
37,2020-02-28
38,2020-02-29
39,2020-03-01
40,2020-03-02
41,2020-03-03
42,2020-03-04
43,2020-03-05
44,2020-03-06
45,2020-03-07
46,2020-03-08
47,2020-03-09
48,2020-03-10
49,2020-03-11
50,2020-03-12
51,2020-03-13
52,2020-03-14
53,2020-03-15
54,2020-03-16
55,2020-03-17
56,2020-03-18
57,2020-03-19
58,2020-03-20
59,2020-03-21
60,2020-03-22
61,2020-03-23
62,2020-03-24
63,2020-03-25
64,2020-03-26
65,2020-03-27
66,2020-03-28
67,2020-03-29
68,2020-03-30
69,2020-03-31
70,2020-04-01
71,2020-04-02
72,2020-04-03
73,2020-04-04
74,2020-04-05
75,2020-04-06
76,2020-04-07
77,2020-04-08
78,2020-04-09
79,2020-04-10
80,2020-04-11
81,2020-04-12
82,2020-04-13
83,2020-04-14
84,2020-04-15
85,2020-04-16
86,2020-04-17
87,2020-04-18
88,2020-04-19
89,2020-04-20
90,2020-04-21
91,2020-04-22
92,2020-04-23
93,2020-04-24
94,2020-04-25
95,2020-04-26
96,2020-04-27
97,2020-04-28
98,2020-04-29
99,2020-04-30
100,2020-05-01
101,2020-05-02
102,2020-05-03
103,2020-05-04
104,2020-05-05
105,2020-05-06
106,2020-05-07
107,2020-05-08
108,2020-05-09
109,2020-05-10
110,2020-05-11
111,2020-05-12
112,2020-05-13
113,2020-05-14
114,2020-05-15
115,2020-05-16
116,2020-05-17
117,2020-05-18
118,2020-05-19
119,2020-05-20
120,2020-05-21
121,2020-05-22
122,2020-05-23
123,2020-05-24
124,2020-05-25
125,2020-05-26
126,2020-05-27
127,2020-05-28
128,2020-05-29
129,2020-05-30
130,2020-05-31
131,2020-06-01
132,2020-06-02
133,2020-06-03
134,2020-06-04
135,2020-06-05
136,2020-06-06
137,2020-06-07
138,2020-06-08
139,2020-06-09
140,2020-06-10
141,2020-06-11
142,2020-06-12
143,2020-06-13
144,2020-06-14
145,2020-06-15
146,2020-06-16
147,2020-06-17
148,2020-06-18
149,2020-06-19
150,2020-06-20
151,2020-06-21
152,2020-06-22
153,2020-06-23
154,2020-06-24
155,2020-06-25
156,2020-06-26
157,2020-06-27
158,2020-06-28
159,2020-06-29
160,2020-06-30
161,2020-07-01
162,2020-07-02
163,2020-07-03
164,2020-07-04
165,2020-07-05
166,2020-07-06
167,2020-07-07
168,2020-07-08
169,2020-07-09
170,2020-07-10
171,2020-07-11
172,2020-07-12
173,2020-07-13
174,2020-07-14
175,2020-07-15
176,2020-07-16
177,2020-07-17
178,2020-07-18
179,2020-07-19
180,2020-07-20
181,2020-07-21
182,2020-07-22
183,2020-07-23
184,2020-07-24
185,2020-07-25
186,2020-07-26
187,2020-07-27
188,2020-07-28
189,2020-07-29
190,2020-07-30
191,2020-07-31
192,2020-08-01
193,2020-08-02
194,2020-08-03
195,2020-08-04
196,2020-08-05
197,2020-08-06
198,2020-08-07
199,2020-08-08
200,2020-08-09
201,2020-08-10
202,2020-08-11
203,2020-08-12
204,2020-08-13
205,2020-08-14
206,2020-08-15
207,2020-08-16
208,2020-08-17
209,2020-08-18
210,2020-08-19
211,2020-08-20
212,2020-08-21
213,2020-08-22
214,2020-08-23
215,2020-08-24
216,2020-08-25
217,2020-08-26
218,2020-08-27
219,2020-08-28
220,2020-08-29
221,2020-08-30
222,2020-08-31
223,2020-09-01
224,2020-09-02
225,2020-09-03
226,2020-09-04
227,2020-09-05
228,2020-09-06
229,2020-09-07
230,2020-09-08
231,2020-09-09
232,2020-09-10
233,2020-09-11
234,2020-09-12
235,2020-09-13
236,2020-09-14
237,2020-09-15
238,2020-09-16
239,2020-09-17
240,2020-09-18
241,2020-09-19
242,2020-09-20
243,2020-09-21
244,2020-09-22
245,2020-09-23
246,2020-09-24
247,2020-09-25
248,2020-09-26
249,2020-09-27
250,2020-09-28
251,2020-09-29
252,2020-09-30
253,2020-10-01
254,2020-10-02
255,2020-10-03
256,2020-10-04
257,2020-10-05
258,2020-10-06
259,2020-10-07
260,2020-10-08
261,2020-10-09
262,2020-10-10
263,2020-10-11
264,2020-10-12
265,2020-10-13
266,2020-10-14
267,2020-10-15
268,2020-10-16
269,2020-10-17
270,2020-10-18
271,2020-10-19
272,2020-10-20
273,2020-10-21
274,2020-10-22
275,2020-10-23
276,2020-10-24
277,2020-10-25
278,2020-10-26
279,2020-10-27
280,2020-10-28
281,2020-10-29
282,2020-10-30
283,2020-10-31
284,2020-11-01
285,2020-11-02
286,2020-11-03
287,2020-11-04
288,2020-11-05
289,2020-11-06
290,2020-11-07
291,2020-11-08
292,2020-11-09
293,2020-11-10
294,2020-11-11
295,2020-11-12
296,2020-11-13
297,2020-11-14
298,2020-11-15
299,2020-11-16
300,2020-11-17
301,2020-11-18
302,2020-11-19
303,2020-11-20
304,2020-11-21
305,2020-11-22
306,2020-11-23
307,2020-11-24
308,2020-11-25
309,2020-11-26
310,2020-11-27
311,2020-11-28
312,2020-11-29
313,2020-11-30
314,2020-12-01
315,2020-12-02
316,2020-12-03
317,2020-12-04
318,2020-12-05
319,2020-12-06
320,2020-12-07
321,2020-12-08
322,2020-12-09
323,2020-12-10
324,2020-12-11
325,2020-12-12
326,2020-12-13
327,2020-12-14
328,2020-12-15
329,2020-12-16
330,2020-12-17
331,2020-12-18
332,2020-12-19
333,2020-12-20
334,2020-12-21
335,2020-12-22
336,2020-12-23
337,2020-12-24
338,2020-12-25
339,2020-12-26
340,2020-12-27
341,2020-12-28
342,2020-12-29
343,2020-12-30
344,2020-12-31
345,2021-01-01
346,2021-01-02
347,2021-01-03
348,2021-01-04
349,2021-01-05
350,2021-01-06
351,2021-01-07
352,2021-01-08
