,Vaccination rate
0,0.3814
1,0.4185
2,0.4116
3,0.5285
4,0.4377
5,0.3382
6,0.4659
7,0.4574
8,0.3474
9,0.4351
10,0.5465
11,0.3823
12,0.4509
13,0.4006
14,0.5966
15,0.5111
16,0.3023
17,0.4299
18,0.319
19,0.5564
20,0.4924
21,0.5091
22,0.3739
23,0.5653
24,0.3757
25,0.4548
26,0.5019
27,0.5206
28,0.4747
29,0.3496
30,0.674
31,0.3782
32,0.3062
33,0.3147
34,0.3566
35,0.4718
36,0.3665
37,0.4666
38,0.4062
39,0.3537
40,0.3585
41,0.3392
42,0.6651
43,0.2774
44,0.497
45,0.6421
46,0.4221
47,0.2797
48,0.3572
49,0.3676
50,0.3056
51,0.3166
52,0.3917
53,0.4056
54,0.4855
55,0.375
56,0.5426
57,0.3086
58,0.3756
59,0.3197
60,0.6172
61,0.4154
62,0.3042
63,0.5537
64,0.3298
65,0.5656
66,0.3245
67,0.4008
68,0.3192
69,0.6405
70,0.5193
71,0.3497
72,0.4077
73,0.3852
74,0.481
75,0.3366
76,0.3942
77,0.3295
78,0.7008
79,0.3364
80,0.3575
81,0.5342
82,0.2087
83,0.5742
84,0.4661
85,0.5174
86,0.3776
87,0.4031
88,0.4701
89,0.3438
90,0.4191
91,0.4287
92,0.5098
93,0.5352
94,0.3669
95,0.3806
96,0.4744
97,0.3766
98,0.4238
99,0.3533
100,0.5753
101,0.3593
102,0.4182
103,0.3257
104,0.6288
105,0.3728
106,0.3757
107,0.6553
108,0.3856
109,0.3918
110,0.4885
111,0.3729
112,0.387
113,0.3198
114,0.7238
115,0.4101
116,0.3042
117,0.3891
118,0.3572
119,0.4038
120,0.338
121,0.5004
122,0.4346
123,0.511
124,0.5034
125,0.4426
126,0.406
127,0.4965
128,0.5309
129,0.6428
130,0.3496
131,0.3658
132,0.4558
133,0.3997
134,0.2061
135,0.4356
136,0.5548
137,0.3541
138,0.5852
139,0.3555
140,0.3645
141,0.4254
142,0.415
143,0.4352
144,0.3659
145,0.4235
146,0.3552
147,0.2606
148,0.3081
149,0.5065
150,0.3137
151,0.4471
152,0.3712
153,0.3831
154,0.3668
155,0.2895
156,0.473
157,0.4266
158,0.6976
159,0.3498
160,0.4751
161,0.4653
162,0.5182
163,0.487
164,0.4177
165,0.4239
166,0.3831
167,0.3345
168,0.334
169,0.5474
170,0.3744
171,0.3974
172,0.2552
173,0.4053
174,0.4328
175,0.2209
176,0.3958
177,0.5165
178,0.3358
179,0.3301
180,0.3267
181,0.3581
182,0.3253
183,0.4577
184,0.3541
185,0.5392
186,0.4186
187,0.3788
188,0.7644
189,0.3628
190,0.4227
191,0.3969
192,0.4597
193,0.3639
194,0.4551
195,0.4822
196,0.2768
197,0.4166
198,0.5887
199,0.4129
200,0.3635
201,0.3392
202,0.3869
203,0.3218
204,0.5095
205,0.3385
206,0.3976
207,0.4227
208,0.3277
209,0.3298
210,0.291
211,0.4353
212,0.4142
213,0.702
214,0.3296
215,0.3883
216,0.3819
217,0.3948
218,0.3529
219,0.5299
220,0.4237
221,0.4455
222,0.379
223,0.3689
224,0.3609
225,0.4397
226,0.667
227,0.39
228,0.3389
229,0.322
230,0.3808
231,0.4749
232,0.5776
233,0.3569
234,0.4525
235,0.4506
236,0.4274
237,0.3511
238,0.4896
239,0.7536
240,0.4623
241,0.3367
242,0.4139
243,0.4706
244,0.5787
245,0.6765
246,0.4939
247,0.3522
248,0.3842
249,0.4179
250,0.3702
251,0.3798
252,0.5512
253,0.4527
