Place,Lat,Long,Population,Vaccination rate
Anderson,31.81534745,-95.65354823,"57,922",0.3814
Andrews,32.30468633,-102.6376548,"18,610",0.4185
Angelina,31.25457347,-94.60901487,"86,395",0.4116
Aransas,28.10556197,-96.9995047,"23,830",0.5285
Archer,33.61569967,-98.68754589,"8,560",0.4377
Armstrong,34.96507426,-101.3574874,"1,848",0.3382
Atascosa,28.89333001,-98.52730485,"48,981",0.4659
Austin,29.88548725,-96.27736949,"30,167",0.4574
Bailey,34.06854817,-102.8299707,"6,904",0.3474
Bandera,29.74619598,-99.24598147,"20,851",0.4351
Bastrop,30.10370699,-97.31206354,"97,216",0.5465
Baylor,33.61640794,-99.21352901,"3,465",0.3823
Bee,28.41761668,-97.74215593,"31,047",0.4509
Bell,31.03736027,-97.4785025,"370,647",0.4006
Bexar,29.44928723,-98.52019748,"2,009,324",0.5966
Blanco,30.26640707,-98.3999852,"11,374",0.5111
Borden,32.74363984,-101.4316509,631,0.3023
Bosque,31.89978581,-97.63613524,"18,235",0.4299
Bowie,33.44626922,-94.41834132,"92,893",0.319
Brazoria,29.18757369,-95.44563172,"372,031",0.5564
Brazos,30.6636448,-96.30205577,"233,849",0.4924
Brewster,29.81008251,-103.2520326,"9,546",0.5091
Briscoe,34.53026962,-101.2084947,"1,435",0.3739
Brooks,27.03103197,-98.21808402,"7,076",0.5653
Brown,31.77430356,-98.99907113,"38,095",0.3757
Burleson,30.49273808,-96.62158484,"17,642",0.4548
Burnet,30.78801353,-98.181887,"49,130",0.5019
Caldwell,29.83668859,-97.61814775,"45,883",0.5206
Calhoun,28.47048236,-96.61633945,"20,106",0.4747
Callahan,32.29760619,-99.37326312,"13,708",0.3496
Cameron,26.14524221,-97.48140372,"421,017",0.674
Camp,32.97195142,-94.97790104,"12,464",0.3782
Carson,35.40365929,-101.3542669,"5,807",0.3062
Cass,33.07499881,-94.34646905,"28,454",0.3147
Castro,34.53016752,-102.2617243,"7,371",0.3566
Chambers,29.70972016,-94.67154501,"46,571",0.4718
Cherokee,31.837258,-95.16559897,"50,412",0.3665
Childress,34.5293041,-100.2077916,"6,664",0.4666
Clay,33.78686685,-98.20771198,"10,218",0.4062
Cochran,33.60425307,-102.8284499,"2,547",0.3537
Coke,31.88911733,-100.5297533,"3,285",0.3585
Coleman,31.76736834,-99.45240766,"7,684",0.3392
Collin,33.18820114,-96.57264368,"1,064,465",0.6651
Collingsworth,34.96489496,-100.2700111,"2,652",0.2774
Colorado,29.622098,-96.5273805,"20,557",0.497
Comal,29.80811278,-98.27647225,"161,501",0.6421
Comanche,31.94854689,-98.55876441,"13,594",0.4221
Concho,31.32635934,-99.86473038,"3,303",0.2797
Cooke,33.63979567,-97.21240912,"41,668",0.3572
Coryell,31.39078397,-97.79936155,"83,093",0.3676
Cottle,34.07783319,-100.2785062,"1,380",0.3056
Crane,31.43052248,-102.5143314,"4,675",0.3166
Crockett,30.72367027,-101.4134238,"3,098",0.3917
Crosby,33.61431553,-101.3000364,"5,133",0.4056
Culberson,31.44506775,-104.5185739,"2,188",0.4855
Dallam,36.27787176,-102.6020725,"7,115",0.375
Dallas,32.76670599,-96.7779605,"2,613,539",0.5426
Dawson,32.74255572,-101.9477242,"12,456",0.3086
DeWitt,29.08101855,-97.3568117,"18,583",0.3756
Deaf Smith,34.96522957,-102.6054267,"5,230",0.3197
Delta,33.38570922,-95.66921122,"906,422",0.6172
Denton,33.20521901,-97.11691153,"19,824",0.4154
Dickens,33.61616822,-100.7788855,"1,770",0.3042
Dimmit,28.42270064,-99.75645095,"8,615",0.5537
Donley,34.96517499,-100.8140093,"3,258",0.3298
Duval,27.68184592,-98.50864568,"9,831",0.5656
Eastland,32.32743996,-98.83243566,"17,725",0.3245
Ector,31.86898877,-102.5429428,"165,171",0.4008
Edwards,29.98202582,-100.304252,"1,422",0.3192
El Paso,31.76980765,-106.2363275,"865,657",0.6405
Ellis,32.34894117,-96.79371841,"192,455",0.5193
Erath,32.23602653,-98.21773417,"42,545",0.3497
Falls,31.25350609,-96.93630086,"16,968",0.4077
Fannin,33.59564294,-96.10751083,"35,662",0.3852
Fayette,29.87788372,-96.92076062,"24,435",0.481
Fisher,32.74281316,-100.4019302,"3,672",0.3366
Floyd,34.07227468,-101.3031546,"5,402",0.3942
