Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Alabama,US,32.31823,-86.902298,1/22/20,
Alaska,US,66.160507,-153.369141,1/22/20,
Arizona,US,34.048927,-111.093735,1/22/20,
Arkansas,US,34.799999,-92.199997,1/22/20,
California,US,36.778259,-119.417931,1/22/20,
Colorado,US,39.113014,-105.358887,1/22/20,
Connecticut,US,41.599998,-72.699997,1/22/20,
Delaware,US,39.0,-75.5,1/22/20,
Florida,US,27.994402,-81.760254,1/22/20,
Georgia,US,33.247875,-83.441162,1/22/20,
"Harris, Texas",US,29.7752,-95.3103,1/22/20,
Hawaii,US,19.741755,-155.844437,1/22/20,
Idaho,US,44.068203,-114.742043,1/22/20,
Illinois,US,40.0,-89.0,1/22/20,
Indiana,US,40.273502,-86.126976,1/22/20,
Iowa,US,42.032974,-93.581543,1/22/20,
Kansas,US,38.5,-98.0,1/22/20,
Kentucky,US,37.839333,-84.27002,1/22/20,
Louisiana,US,30.39183,-92.329102,1/22/20,
Maine,US,45.367584,-68.972168,1/22/20,
Maryland,US,39.045753,-76.641273,1/22/20,
Massachusetts,US,42.407211,-71.382439,1/22/20,
Michigan,US,44.182205,-84.506836,1/22/20,
Minnesota,US,46.39241,-94.63623,1/22/20,
Mississippi,US,33.0,-90.0,1/22/20,
Missouri,US,38.573936,-92.60376,1/22/20,
Montana,US,46.96526,-109.533691,1/22/20,
Nebraska,US,41.5,-100.0,1/22/20,
Nevada,US,39.876019,-117.224121,1/22/20,
New Hampshire,US,44.0,-71.5,1/22/20,
New Jersey,US,39.833851,-74.871826,1/22/20,
New Mexico,US,34.307144,-106.018066,1/22/20,
New York,US,43.0,-75.0,1/22/20,
North Carolina,US,35.782169,-80.793457,1/22/20,
North Dakota,US,47.650589,-100.437012,1/22/20,
Ohio,US,40.367474,-82.996216,1/22/20,
Oklahoma,US,36.084621,-96.921387,1/22/20,
Oregon,US,44.0,-120.5,1/22/20,
Pennsylvania,US,41.203323,-77.194527,1/22/20,
Rhode Island,US,41.700001,-71.5,1/22/20,
South Carolina,US,33.836082,-81.163727,1/22/20,
South Dakota,US,44.5,-100.0,1/22/20,
Tennessee,US,35.860119,-86.660156,1/22/20,
Texas,US,31.0,-100.0,1/22/20,
Utah,US,39.41922,-111.950684,1/22/20,
Vermont,US,44.0,-72.699997,1/22/20,
Virginia,US,37.926868,-78.024902,1/22/20,
Washington,US,47.751076,-120.740135,1/22/20,
West Virginia,US,39.0,-80.5,1/22/20,
Wisconsin,US,44.5,-89.5,1/22/20,
Wyoming,US,43.07597,-107.290283,1/22/20,
Alabama,US,32.31823,-86.902298,1/23/20,0.0
Alaska,US,66.160507,-153.369141,1/23/20,0.0
Arizona,US,34.048927,-111.093735,1/23/20,0.0
Arkansas,US,34.799999,-92.199997,1/23/20,0.0
California,US,36.778259,-119.417931,1/23/20,0.0
Colorado,US,39.113014,-105.358887,1/23/20,0.0
Connecticut,US,41.599998,-72.699997,1/23/20,0.0
Delaware,US,39.0,-75.5,1/23/20,0.0
Florida,US,27.994402,-81.760254,1/23/20,0.0
Georgia,US,33.247875,-83.441162,1/23/20,0.0
"Harris, Texas",US,29.7752,-95.3103,1/23/20,0.0
Hawaii,US,19.741755,-155.844437,1/23/20,0.0
Idaho,US,44.068203,-114.742043,1/23/20,0.0
Illinois,US,40.0,-89.0,1/23/20,0.0
Indiana,US,40.273502,-86.126976,1/23/20,0.0
Iowa,US,42.032974,-93.581543,1/23/20,0.0
Kansas,US,38.5,-98.0,1/23/20,0.0
Kentucky,US,37.839333,-84.27002,1/23/20,0.0
Louisiana,US,30.39183,-92.329102,1/23/20,0.0
Maine,US,45.367584,-68.972168,1/23/20,0.0
Maryland,US,39.045753,-76.641273,1/23/20,0.0
Massachusetts,US,42.407211,-71.382439,1/23/20,0.0
Michigan,US,44.182205,-84.506836,1/23/20,0.0
Minnesota,US,46.39241,-94.63623,1/23/20,0.0
Mississippi,US,33.0,-90.0,1/23/20,0.0
Missouri,US,38.573936,-92.60376,1/23/20,0.0
Montana,US,46.96526,-109.533691,1/23/20,0.0
Nebraska,US,41.5,-100.0,1/23/20,0.0
Nevada,US,39.876019,-117.224121,1/23/20,0.0
New Hampshire,US,44.0,-71.5,1/23/20,0.0
New Jersey,US,39.833851,-74.871826,1/23/20,0.0
New Mexico,US,34.307144,-106.018066,1/23/20,0.0
New York,US,43.0,-75.0,1/23/20,0.0
North Carolina,US,35.782169,-80.793457,1/23/20,0.0
North Dakota,US,47.650589,-100.437012,1/23/20,0.0
