Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-11-10 04:31:55,32.3182,-86.9023,837250,15879,,,1.0,17075.635530782543,6118503.0,,1.8965661391460136,84000001.0,USA,124786.29707016965,
Alaska,US,2021-11-10 04:31:55,61.3707,-152.4044,143848,822,,,2.0,19663.58870609464,3393256.0,,0.5714365163227851,84000002.0,USA,463847.8835888428,
American Samoa,US,2021-11-10 04:31:55,-14.270999999999999,-170.132,4,0,,,60.0,7.1889434050430445,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-11-10 04:31:55,33.7298,-111.4312,1195483,21486,,,4.0,16424.36434882686,13914470.0,,1.7972652057787522,84000004.0,USA,191166.52014359125,
Arkansas,US,2021-11-10 04:31:55,34.9697,-92.3731,517000,8522,,,5.0,17131.66262620104,4123003.0,,1.6483558994197292,84000005.0,USA,136622.62360312333,
California,US,2021-11-10 04:31:55,36.1162,-119.6816,4980896,72681,,,6.0,12605.962463817841,105092073.0,,1.4591952933769343,84000006.0,USA,265973.57734086487,
Colorado,US,2021-11-10 04:31:55,39.0598,-105.3111,771061,8520,,,8.0,13389.41392694508,12401858.0,,1.1049709426361858,84000008.0,USA,215357.2936838917,
Connecticut,US,2021-11-10 04:31:55,41.5978,-72.7554,406219,8806,,,9.0,11393.72510544032,10757036.0,,2.1677961887553265,84000009.0,USA,301715.85064540384,
Delaware,US,2021-11-10 04:31:55,39.3185,-75.5071,146207,2124,,,10.0,15014.62366651468,2428683.0,,1.4527348211781923,84000010.0,USA,249411.86981650584,
Diamond Princess,US,2021-11-10 04:31:55,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-11-10 04:31:55,38.8974,-77.0268,65094,1193,,,11.0,9223.392452557497,2280579.0,,1.8327341997726363,84000011.0,USA,323143.07211203984,
Florida,US,2021-11-10 04:31:55,27.7663,-81.6868,3701310,60418,,,12.0,17233.240168645327,42507096.0,,1.6323409819766517,84000012.0,USA,197912.3592024616,
Georgia,US,2021-11-10 04:31:55,33.0406,-83.6431,1643945,29647,,,13.0,15483.465243873206,12553190.0,,1.803405831703616,84000013.0,USA,118231.98529436006,
Grand Princess,US,2021-11-10 04:31:55,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-11-10 04:31:55,13.4443,144.7937,18752,255,,,66.0,11418.20263169111,253090.0,,1.3598549488054608,316.0,GUM,154107.983364692,
Hawaii,US,2021-11-10 04:31:55,21.0943,-157.4983,85218,962,,,15.0,6018.764408082086,2594592.0,,1.1288694876669247,84000015.0,USA,183250.46331871807,
Idaho,US,2021-11-10 04:31:55,44.2405,-114.4788,297910,3681,,,16.0,16670.350546846366,1026195.0,,1.2356080695512068,84000016.0,USA,57423.484876039765,
Illinois,US,2021-11-10 04:31:55,40.3495,-88.9861,1722590,28441,,,17.0,13593.863107756968,36457609.0,,1.6510603219570532,84000017.0,USA,287706.1552558232,
Indiana,US,2021-11-10 04:31:55,39.8494,-86.2583,1037109,16976,,,18.0,15405.1583883412,14744708.0,,1.6368578423290128,84000018.0,USA,219017.05812006406,
Iowa,US,2021-11-10 04:31:55,42.0115,-93.2105,497648,7069,,,19.0,15772.962248064228,1725721.0,,1.4204819470790602,84000019.0,USA,54696.757916623086,
Kansas,US,2021-11-10 04:31:55,38.5266,-96.7265,443075,6536,,,20.0,15208.62495426171,1850609.0,,1.4751452914292162,84000020.0,USA,63522.46959991268,
Kentucky,US,2021-11-10 04:31:55,37.6681,-84.6701,755121,10062,,,21.0,16901.886060148092,7443685.0,,1.332501678538936,84000021.0,USA,166612.12671563026,
Louisiana,US,2021-11-10 04:31:55,31.1695,-91.8678,763133,14649,,,22.0,16415.7198619685,9939551.0,,1.9195867561748736,84000022.0,USA,213809.23740651878,
Maine,US,2021-11-10 04:31:55,44.6939,-69.3819,108710,1215,,,23.0,8087.265996732657,2970932.0,,1.1176524698739767,84000023.0,USA,221016.62535373887,
Maryland,US,2021-11-10 04:31:55,39.0639,-76.8021,567085,10999,,,24.0,9380.003572799089,14369773.0,,1.9395681423419768,84000024.0,USA,237686.6291302219,
Massachusetts,US,2021-11-10 04:31:55,42.2302,-71.5301,867345,19117,,,25.0,12583.890061418906,31784555.0,,2.2040825738316356,84000025.0,USA,461146.7706288993,
Michigan,US,2021-11-10 04:31:55,43.3266,-84.5361,1319724,24027,,,26.0,13214.60795924083,17803074.0,,1.8206079452976531,84000026.0,USA,178265.03373383638,
Minnesota,US,2021-11-10 04:31:55,45.6945,-93.9002,826404,9006,,,27.0,14653.509306990245,12281456.0,,1.0897817532344956,84000027.0,USA,217770.52119712773,
Mississippi,US,2021-11-10 04:31:55,32.7416,-89.6787,507476,10178,,,28.0,17051.4312287456,2606938.0,,2.005612088059337,84000028.0,USA,87594.33751468759,
Missouri,US,2021-11-10 04:31:55,38.4561,-92.2884,869952,12787,,,29.0,14174.536955871416,7573236.0,,1.4698512101817112,84000029.0,USA,123394.29480883526,
Montana,US,2021-11-10 04:31:55,46.9219,-110.4544,182468,2437,,,30.0,17072.581958086714,2096172.0,,1.3355766490562728,84000030.0,USA,196127.9143096134,
Nebraska,US,2021-11-10 04:31:55,41.1254,-98.2681,292032,3040,,,31.0,15096.711758843016,3995629.0,,1.0409818102125794,84000031.0,USA,206555.6490667946,
Nevada,US,2021-11-10 04:31:55,38.3135,-117.0554,445879,7777,,,32.0,14475.857716297487,4653781.0,,1.7441951740270345,84000032.0,USA,151089.1331478016,
New Hampshire,US,2021-11-10 04:31:55,43.4525,-71.5639,141707,1613,,,33.0,10421.846995427704,2714425.0,,1.1382641647907301,84000033.0,USA,199632.49543469163,
New Jersey,US,2021-11-10 04:31:55,40.2989,-74.521,1209785,28119,,,34.0,13620.345883166201,16093226.0,,2.324297292494121,84000034.0,USA,181185.33830057678,
New Mexico,US,2021-11-10 04:31:55,34.8405,-106.2485,287221,5135,,,35.0,13697.87426633264,5008682.0,,1.787821921099084,84000035.0,USA,238869.35939935967,
New York,US,2021-11-10 04:31:55,42.1657,-74.9481,2598730,56793,,,36.0,13358.633928256115,77162220.0,,2.185413644357052,84000036.0,USA,396648.305161199,
North Carolina,US,2021-11-10 04:31:55,35.6301,-79.8064,1495521,18336,,,37.0,14259.23934247666,17143533.0,,1.2260610182003462,84000037.0,USA,163457.243477455,
North Dakota,US,2021-11-10 04:31:55,47.5289,-99.78399999999999,152782,1832,,,38.0,20048.4999908144,1897681.0,,1.1990941341257475,84000038.0,USA,249019.2399043648,
Northern Mariana Islands,US,2021-11-10 04:31:55,15.0979,145.6739,342,3,,,69.0,620.1944001160597,17542.0,,0.8771929824561403,580.0,MNP,31811.25779776585,
Ohio,US,2021-11-10 04:31:55,40.3888,-82.7649,1580271,25282,,,39.0,13519.18453944273,17463695.0,,1.5998521772531418,84000039.0,USA,149401.53647415113,
Oklahoma,US,2021-11-10 04:31:55,35.5653,-96.9289,650269,10879,,,40.0,16433.50431428484,4628491.0,,1.6729999431004707,84000040.0,USA,116970.55651911526,
Oregon,US,2021-11-10 04:31:55,44.571999999999996,-122.0709,375357,4655,,,41.0,8899.488042995568,7720712.0,,1.2401527079553598,84000041.0,USA,183053.42414664547,
Pennsylvania,US,2021-11-10 04:31:55,40.5908,-77.2098,1601086,31992,,,42.0,12506.540975781185,18983924.0,,1.9981437599229523,84000042.0,USA,148288.8635508123,
Puerto Rico,US,2021-11-10 04:31:55,18.2208,-66.5901,186273,3247,,,72.0,5832.5249695180555,3028596.0,,1.7431404444014966,630.0,PRI,94830.5003547616,
Rhode Island,US,2021-11-10 04:31:55,41.6809,-71.5118,182175,2884,,,44.0,17196.687437049317,5799268.0,,1.5830931796349663,84000044.0,USA,547430.7625068319,
South Carolina,US,2021-11-10 04:31:55,33.8569,-80.945,904689,13898,,,45.0,17571.164372307336,9723285.0,,1.5362185237136738,84000045.0,USA,188848.8076828505,
South Dakota,US,2021-11-10 04:31:55,44.2998,-99.4388,158267,2270,,,46.0,17890.170110743235,1010145.0,,1.4342851004947337,84000046.0,USA,114184.67454691582,
Tennessee,US,2021-11-10 04:31:55,35.7478,-86.6923,1290122,16593,,,47.0,18891.33297819033,10396329.0,,1.2861574331729868,84000047.0,USA,152234.06227458842,
Texas,US,2021-11-10 04:31:55,31.0545,-97.5635,4269229,72111,,,48.0,14723.570565074397,35637952.0,,1.6890871864685637,84000048.0,USA,122906.94667977153,
Utah,US,2021-11-10 04:31:55,40.15,-111.8624,566134,3313,,,49.0,17658.809004983847,4572727.0,,0.5851971441390201,84000049.0,USA,142632.15550546825,
Vermont,US,2021-11-10 04:31:55,44.0459,-72.7107,42716,387,,,50.0,6845.633496744334,2386424.0,,0.9059837063395452,84000050.0,USA,382446.4854348394,
Virgin Islands,US,2021-11-10 04:31:55,18.3358,-64.8963,7303,83,,,78.0,6808.181377484431,211408.0,,1.1365192386690401,850.0,VIR,197083.93929224,
Virginia,US,2021-11-10 04:31:55,37.7693,-78.17,938376,14225,,,51.0,10993.777882750892,10090652.0,,1.5159168606187712,84000051.0,USA,118219.54821962205,
Washington,US,2021-11-10 04:31:55,47.4009,-121.4905,744364,8858,,,53.0,9775.107805191748,9842443.0,,1.1900091890526678,84000053.0,USA,129252.54497994915,
West Virginia,US,2021-11-10 04:31:55,38.4912,-80.9545,278837,4568,,,54.0,15558.824136636109,4391183.0,,1.6382330895828028,84000054.0,USA,245023.59460468372,
Wisconsin,US,2021-11-10 04:31:55,44.2685,-89.6165,909159,9602,,,55.0,15614.758363941954,11760196.0,,1.056140895046961,84000055.0,USA,201980.75237950322,
Wyoming,US,2021-11-10 04:31:55,42.756,-107.3025,106287,1298,,,56.0,18364.63882203128,1103202.0,,1.2212217862955959,84000056.0,USA,190615.09194673435,
